Country,Chapter,URL,Homepage,Twitter
Ethiopia,Addis Ababa,https://hugovk.github.io/python-logos/pyladies/img/PyladiesAddis.png,https://github.com/PyladiesAddis,
Ghana,Ghana,https://hugovk.github.io/python-logos/pyladies/img/PyladiesGhana.jpg,https://ghana.pyladies.com/,pyladiesghana
Nigeria,Lautech,https://hugovk.github.io/python-logos/pyladies/img/PyladiesLautech.jpg,https://twitter.com/PyladiesLautech,PyladiesLautech
India,Chennai,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesChennai.png,https://www.meetup.com/pyladieschennai/,pyladieschennai
Taiwan,Taiwan,https://hugovk.github.io/python-logos/pyladies/img/twgirl_logo.png,https://tw.pyladies.com/,PyLadiesTW
Japan,Tokyo,https://hugovk.github.io/python-logos/pyladies/img/pyladies-tokyo.png,https://pyladiestokyo.github.io/,PyLadiesTokyo
Thailand,Bangkok,https://hugovk.github.io/python-logos/pyladies/img/pyladies_bangkok.png,https://www.facebook.com/pyladiesbkk,pyladiesbkk
Spain,Barcelona,https://hugovk.github.io/python-logos/pyladies/img/PyLadies BCN.jpg,https://www.meetup.com/PyLadies-BCN/,PyLadiesBCN
Ireland,Dublin,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesDublin.jpg,https://www.meetup.com/PyLadiesDublin/,pyladiesDub
Russia,Kazan,https://hugovk.github.io/python-logos/pyladies/img/pyladieskzn.png,https://www.facebook.com/pyladieskzn,pyladieskzn
Germany,Munich,https://hugovk.github.io/python-logos/pyladies/img/PyLadies Munich.png,https://www.meetup.com/PyLadiesMunich/,pyladiesmunich
Russia,Saint Petersburg,https://hugovk.github.io/python-logos/pyladies/img/pyladies_spb.png,http://spb.pyladies.com/,pyladies_spb
Mexico,Mexico City,https://hugovk.github.io/python-logos/pyladies/img/MxPyladies.jpg,https://www.meetup.com/Mexico-City-Pyladies-Meetup/,MxPyladies
USA,Seattle,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesSEA.png,https://www.meetup.com/Seattle-PyLadies/,PyLadiesSEA
USA,Silicon Valley,https://hugovk.github.io/python-logos/pyladies/img/siliconvalley.png,https://www.meetup.com/PyLadies-Silicon-Valley/,
Brazil,Belém,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesBelém.png,https://www.facebook.com/pyladiesbelem,
Brazil,Blumenau,https://hugovk.github.io/python-logos/pyladies/img/pyladies-blumenau.png,https://www.facebook.com/groups/PyLadiesBlumenau/,pyladiesbnu
Brazil,Brasília DF,https://hugovk.github.io/python-logos/pyladies/img/PyLadies Brasília DF.png,https://df.pyladies.com/,PyLadiesDF
Brazil,Brazil,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesBrasil.jpg,https://brasil.pyladies.com/,PyLadiesBrasil
Brazil,Caxias do Sul,https://hugovk.github.io/python-logos/pyladies/img/PyladiesCaxias.jpg,https://pyladiescaxias.github.io/,PyladiesAracati
Brazil,Florianópolis,https://hugovk.github.io/python-logos/pyladies/img/PyLadies Florianópolis.jpg,https://www.facebook.com/groups/PyLadiesFlorianopolis/,PyLadiesFloripa
Brazil,Fortaleza,https://hugovk.github.io/python-logos/pyladies/img/PyLadies Fortaleza.png,https://www.facebook.com/PyLadiesFortaleza/,pyladiesfort
Brazil,Goiânia,https://hugovk.github.io/python-logos/pyladies/img/pyladies-goiania.png,https://www.instagram.com/pyladies_goiania/,
Brazil,Maceió,https://hugovk.github.io/python-logos/pyladies/img/PyLadiesMaceio.png,https://www.facebook.com/PyLadiesMaceio/,pyladiesmaceio
Brazil,Manaus,https://hugovk.github.io/python-logos/pyladies/img/pyladiesmanaus.png,https://www.facebook.com/pyladiesmanaus/,pyladiesmanaus
Brazil,Paraíba,https://hugovk.github.io/python-logos/pyladies/img/pyladiespb.png,https://www.facebook.com/pyladiespb,pyladiespb
Brazil,Parnaíba,https://hugovk.github.io/python-logos/pyladies/img/pyLadiesPHB.png,https://pyladiesparnaiba.carrd.co/,pyladiesphb
Brazil,Porto Alegre,https://hugovk.github.io/python-logos/pyladies/img/pyladies-porto-alegre.png,https://pyladiespoa.pythonanywhere.com/,Pyladiespoa
Brazil,Recife,https://hugovk.github.io/python-logos/pyladies/img/pyladiesrecife.png,https://linktr.ee/pyladiesrecife,pyladies_recife
Brazil,Ribeirão Preto,https://hugovk.github.io/python-logos/pyladies/img/Pyladies-RP.png,https://pyladies-rp.github.io/,pyladies_recife
Brazil,Salvador,https://hugovk.github.io/python-logos/pyladies/img/pyladiessalvador.png,https://pyladiessalvador.github.io/,pyladiessa
Brazil,Sorocaba,https://hugovk.github.io/python-logos/pyladies/img/PyLadies Sorocaba.png,https://www.facebook.com/PyLadiesSorocaba,pyladiesorocaba
Brazil,Sul de Minas Gerais,https://hugovk.github.io/python-logos/pyladies/img/pyladies_sul_de_minas.png,https://www.facebook.com/pyladiesmg/,
Brazil,São Carlos,https://hugovk.github.io/python-logos/pyladies/img/pyladies-saocarlos.png,https://www.facebook.com/PyLadiesSaoCarlos,PyLadiesSanca
Brazil,São José dos Campos,https://hugovk.github.io/python-logos/pyladies/img/PyLadies São José dos Campos.png,https://www.facebook.com/pyladiesSJC/,
Brazil,Teresina,https://hugovk.github.io/python-logos/pyladies/img/pyladiesteresina.png,https://pyladiesteresina.github.io/,pyladiesthe
Brazil,Vale Do Paraiba,https://hugovk.github.io/python-logos/pyladies/img/pyladiesvale.png,http://vale.pyladies.com/,pyladiesvale
